scaled,threads,problem_size,buckets,time
scaled,3,300000000,100,84.858493
unscaled,3,100000000,100,27.482496
scaled,4,400000000,100,100.225529
unscaled,4,100000000,100,23.182504
scaled,5,500000000,100,117.821853
unscaled,5,100000000,100,22.675090
scaled,6,600000000,100,129.986569
unscaled,6,100000000,100,21.472747
scaled,7,700000000,100,144.667900
unscaled,7,100000000,100,20.303180
scaled,8,800000000,100,162.039913
unscaled,8,100000000,100,19.270604
scaled,9,900000000,100,180.068611
unscaled,9,100000000,100,19.670592
scaled,10,1000000000,100,193.292366
unscaled,10,100000000,100,19.268066
scaled,11,1100000000,100,210.079723
unscaled,11,100000000,100,18.414045
scaled,12,1200000000,100,225.897300
unscaled,12,100000000,100,18.399255
scaled,1,100000000,1000,43.444009
unscaled,1,100000000,1000,43.665950
scaled,2,200000000,1000,59.242989
unscaled,2,100000000,1000,32.357625
scaled,3,300000000,1000,69.899140
unscaled,3,100000000,1000,23.558622
scaled,4,400000000,1000,81.423056
unscaled,4,100000000,1000,21.308268
scaled,5,500000000,1000,94.993362
unscaled,5,100000000,1000,18.494566
scaled,6,600000000,1000,106.226182
unscaled,6,100000000,1000,16.694107
scaled,7,700000000,1000,112.421786
unscaled,7,100000000,1000,16.217297
scaled,8,800000000,1000,122.582460
unscaled,8,100000000,1000,14.747257
scaled,9,900000000,1000,130.852585
unscaled,9,100000000,1000,14.361057
scaled,10,1000000000,1000,140.122659
unscaled,10,100000000,1000,14.184254
scaled,11,1100000000,1000,153.002241
unscaled,11,100000000,1000,13.188613
scaled,12,1200000000,1000,164.020691
unscaled,12,100000000,1000,13.246600
scaled,1,100000000,10000,38.953693
unscaled,1,100000000,10000,41.501783
scaled,2,200000000,10000,56.789935
unscaled,2,100000000,10000,26.370977
scaled,3,300000000,10000,67.944876
unscaled,3,100000000,10000,21.564151
scaled,4,400000000,10000,75.770879
unscaled,4,100000000,10000,19.506390
scaled,5,500000000,10000,86.950537
unscaled,5,100000000,10000,17.028526
scaled,6,600000000,10000,93.853762
unscaled,6,100000000,10000,15.244883
scaled,7,700000000,10000,99.135408
unscaled,7,100000000,10000,14.350790
scaled,8,800000000,10000,107.733800
unscaled,8,100000000,10000,13.174114
scaled,9,900000000,10000,117.097677
unscaled,9,100000000,10000,12.859172
scaled,10,1000000000,10000,119.935258
unscaled,10,100000000,10000,12.184173
scaled,11,1100000000,10000,135.282899
unscaled,11,100000000,10000,12.274881
scaled,12,1200000000,10000,144.672033
unscaled,12,100000000,10000,11.541536
scaled,1,100000000,100000,39.950490
unscaled,1,100000000,100000,35.522693
scaled,2,200000000,100000,53.218779
unscaled,2,100000000,100000,28.057068
scaled,3,300000000,100000,67.977483
unscaled,3,100000000,100000,19.163728
scaled,4,400000000,100000,80.580545
unscaled,4,100000000,100000,18.502478
scaled,5,500000000,100000,84.806084
unscaled,5,100000000,100000,15.688421
scaled,6,600000000,100000,92.842654
unscaled,6,100000000,100000,15.001764
scaled,7,700000000,100000,103.206659
unscaled,7,100000000,100000,14.213727
scaled,8,800000000,100000,108.520600
unscaled,8,100000000,100000,13.224417
scaled,9,900000000,100000,125.120713
unscaled,9,100000000,100000,12.195305
scaled,10,1000000000,100000,122.222718
unscaled,10,100000000,100000,12.460572
scaled,11,1100000000,100000,132.922235
unscaled,11,100000000,100000,11.665346
scaled,12,1200000000,100000,143.554005
unscaled,12,100000000,100000,11.489492
